,pmcid,HasRestingState,annotator_name,Exclude,Modality,TaskName,TaskDescription,Condition,ContrastDefinition
4517759,4517759,False,delavega_nv,,['fMRI-BOLD'],"['Typing task', 'Reading task', 'Typing-movement task ', 'Writing task', 'Reading task', 'Writing-movement task']","['In the typing task, a word was presented on a screen and the subject was instructed to type the visually presented word on a keyboard (Fujitsu CP218230-02) that had been modified for use in the scanner by eliminating all ferro-magnetic components. The word list for the task consisted of 110 kana nouns obtained from the Nippon Telegraph and Telephone corporation (NTT) psycholinguistic database called ""Lexical Properties of Japanese"" [ ]. Words were matched on linguistic parameters including word frequency, imagability, number of syllables, and key positions on the QWERTY keyboard so as not to require unequal hand usage. All words consisted of four or five kana characters (seven to nine alphabetic characters) and did not include the Roman characters q, w, z, x, c, v, p, or l, because there are relatively few opportunities to press these keys in the Japanese language and these characters are located in the corners of the QWERTY keyboard ( ). No word was shown more than once in the experiment (i.e., the six scanning sessions containing the writing, reading, and the typing conditions). \n   Positions of the keys required to type the words included in the word list.  \nThe typing task required the subjects to type the letters corresponding to the red colored keys. The keys q, w, z, x, c, v, p, and l were excluded because there are few opportunities to press these keys for Japanese typists and these keys are located in the corners of the QWERTY keyboard. \n  \nBefore the typing task, a picture of a hand, which indicated that the subject should type, was presented for 2000 ms followed by six different words presented sequentially over a period of 18000 ms with no interval and subjects were instructed to type each word on the keyboard ( ). We adopted the most popular way of typing Japanese called “alphabetical input”. In this method, a western-style keyboard is used, and the kana character “ka” is produced by typing “k” followed by “a” [ ]. Although there are other ways of typing, all subjects were instructed to type using the alphabetical input method. \n\nThe keys pressed were recorded through the optical fibers placed in the keyboard buttons and the accuracy of typewriting was calculated offline. The percentage of left-hand and right-hand usage on the keyboard was calculated for each word to ensure that there was no bias in hand use. Behavioral data obtained from the typing experiment were processed in MATLAB 7.7.0 (MathWorks Inc., Natick, MA, USA). Accurate trials were defined as those for which subjects produced the correct key-pressing sequence for a given word. We were primarily interested in spelling errors as opposed to typing errors such as a slip in a keypress to the adjacent key, and we therefore did not consider key presses that were either one to the right or left of the correct key to be incorrect (e.g. for the letter “y”, “t” or “u” were considered correct). Typing speed (number of keys per second) was calculated offline to check the difference between consecutive key presses for each trial involving a motor control task. \n', 'For the reading task, a picture of a book, which indicated that the subject should read, was presented for 2000 ms followed by six different words presented sequentially over a period of 18000 ms with no interval, and subjects were instructed to read each word silently and not to move their fingers ( ). The word list for the reading task was the same as that used in the writing task, and no word was shown more than once in the experiment. ', 'In the typing-movement task, which was designed as a control, a double circle (◎) was presented for 2000-ms periods with a blank screen presented for 1000 ms between each period, and subjects were instructed to type randomly with both hands at a pre-learned speed during the presentation of the double circle ( ). Behavioral data were obtained in the same manner as for the typing task. ', 'In the writing task, subjects were instructed to write words with their right index finger in the air. It is natural for Japanese people to write with the index finger in the air, and they often move their index finger to trace the imagined letter. Before the task, a picture of a hand, which indicated that the subject should write, was presented for 2000 ms followed by six different words presented sequentially over a period of 18000 ms with no interval and subjects were instructed to trace each word in the air with their index finger in Japanese phonograms (kana) ( ). The word list for this task was the same as that used in the typing condition. During the fMRI scan, finger movements were checked by examiners via a video monitor. ', 'For the reading task, a picture of a book, which indicated that the subject should read, was presented for 2000 ms followed by six different words presented sequentially over a period of 18000 ms with no interval, and subjects were instructed to read each word silently ( ). The word list for the reading task was the same as that used in the typing condition. ', 'In the writing-movement task, a double circle (◎) was presented and subjects were instructed to move their index finger randomly at a pre-learned speed, in the way they do when they write in the air. The double circle was presented for 2500-ms periods with a blank screen presented for 500 ms between each period ( ). The stimulus duration in the writing-movement task was longer than that in the typing-movement task to control for the difference in the time taken to complete these two tasks. During the fMRI scan, finger movements were checked by examiners via a video monitor. \n']","['typing', 'writing']",
4526228,4526228,True,delavega_nv,,"['fMRI-BOLD', 'DiffusionMRI']",[],,,
4530666,4530666,False,delavega-other,,['fMRI-BOLD'],"['implicit emotion processing task ', 'explicit emotion identification task']","['In the implicit task, participants were presented with each stimulus twice in a pseudorandom fashion, resulting in a total of 16 presentations of each emotion over two runs.', 'In the explicit task, participants were shown each stimulus once, resulting in eight presentations per emotion over one run.']","['anger', 'disgust', 'fear', ',', 'happiness', 'sadness', 'neutral', 'own face']","['Own > Neutral, AN > Healthy Controls']"
4547715,4547715,False,delavega_nv,,['fMRI-BOLD'],['n/a'],"['A) The task was conducted in an event-related design. Six trials from either the liked or the uninteresting male acquaintance were combined in a set. Each set contained pseudo-randomized four target trials (shown in red) with two control trials (shown in blue). (B) Each trial was created by a 2 × 3 factorial design. In a target trial, female participants judged the gift attractiveness (1: the least attractive, 9: the most attractive). In a control trial, the participants simply pressed the button when a white dot appeared by the side of the portrait. For details, see  . \n  \nIn each target trial, a portrait of a giver, a picture of a gift, and a rating scale were displayed simultaneously ( ). The participants used a keypad to rate the attractiveness of the gift. The keypad was separated for the left and right hands. The left five fingers corresponded to the ratings 1–5 and the four right fingers, except the little finger, corresponded to the ratings 6–9. The participants had practiced to press buttons correctly before the task. Gift attractiveness and reaction time (RT) for judgments were recorded. We conducted control trials to subtract brain activity on simply viewing the giver and pressing the buttons. In each control trial, a white dot appeared either on the left or on the right side of the portrait ( ). The participants pressed the button with the left/right index finger if the dot appeared on the left/right. \n']","['liked', 'uninteresting', 'romantic', 'non-romantic']",
4914983,4914983,False,delavega_nv,,['fMRI-BOLD'],['n/a'],,,
5090046,5090046,True,delavega-aliceoverlap,,['fMRI-BOLD'],[],,,
5243799,5243799,False,delavega-aliceoverlap,['MetaAnalysis'],,[],,,
5324609,5324609,False,delavega-aliceoverlap,,"['fMRI-BOLD', 'fMRI-BOLD']",['acquired equivalence task'],"['participants learned a set of visual discriminations via trial‐and‐error (learning phase), and were subsequently tested on their ability to generalize what they had learned (generalization phase). Both learning and generalization occurred within a single scanning session and took place in the context of a first‐person virtual reality environment (see Fig.  ). On each trial, a scene was presented depicting two buildings positioned equidistantly from a start location. One building concealed a pile of gold (the “reward”). The location of this gold was determined by the configuration of wall textures rendered onto the towers of each building. Participants were required to select the rewarded building (within 3 s). Following a response, video feedback was presented (7 s) before an inter‐trial interval (1 s). ']",,"['linear increases in activity across the four learning stage', ' HRF amplitude estimates relating to generalization test trials were correlated with generalization performance at the second‐level']"
5404760,5404760,False,delavega-aliceoverlap,,['fMRI-BOLD'],['revised Social Norm Processing Task (SNPT-R)'],"['the SNPT-R contains stories describing neutral social situations, stories on unintentional social norm violations, and stories depicting intentional social norm violations. However, in contrast to earlier versions of the SNPT [ – ], the SNPT-R uses only personal stories in order to maximize personal involvement of the participants while reading the stories ', 'During the story-reading phase (1), participants read stories consisting of a stem sentence and an ending sentence, describing either a neutral social situation, a situation in which a social norm was unintentionally transgressed or situation in which a social norm was violated intentionally. Participants were instructed to imagine themselves in the situation described. In the rating phase (2), participants rated all stories on embarrassment and inappropriateness. \n  \nIn the story-reading phase, participants read short stories written in second person. Each story consisted of two sentences, a stem sentence (duration: 3 s) and an ending sentence (duration: 6 s). The stories described either a situation in which no social norm was transgressed (“neutral condition”), a situation in which a social norm was unintentionally transgressed (“unintentional condition”) or a situation in which a social norm was intentionally transgressed (“intentional condition”). It is important to note that the unintentional (“You are baking with friends. You use salt instead of sugar without realizing.”) and intentional (“You are baking with friends. You use salt instead of sugar as a joke.”) condition differ only in the intention of the actor, while we aimed to keep the actual outcome of the action (for example, a distasteful cake) in general the same (although the outcome of some intentional stories could be considered to be more severe in comparison to the outcome of the matching unintentional story, inherent to the verb used to describe intentionality; we refer the reader to   for a sensitivity analysis). \n\nThe stories in the SNPT-R were developed in collaboration with Karina S. Blair, author of previous work on the SNPT [ ]. All stories described everyday social situations, in which the protagonist was accompanied by at least one other person, and the stories outlined relative innocuous violations of conventional social norms, in which no severe harm was done to others. The stories were heterogeneous with respect to the context (for example, in the presence of one friend or in public space like an airport) and the nature of the social norm transgression (for example, breaking decency rules versus hurting somebody), in order to increase the external validity of the paradigm. Stories were developed to be suitable for a broad audience and age-range (for children from age 8). However, given the fact that the stories of the SNPT-R were all personal (written in ‘you’ form) in order to maximize personal involvement of participants, some small changes were necessary in stories describing age- or genderspecific elements. Therefore, four age- and gender specific versions of the task were developed: for boys < 18 years of age (version 1), girls < 18 years of age (version 2), men ≥ 18 years of age (version 3) and women ≥ 18 years of age (version 4). For example, the school environment (< 18 years) was replaced for a work environment (≥ 18 years of age), and ‘bikini bottoms’ (females) for ‘swimming trunks’ (males). However, these changes were only minimal (see   and osf.io/m8r76 for a full list of stories included in the SNPT-R [ ]). \n\nIn line with the SNPT described by Blair et al. [ ], twenty-six stem sentences were developed, with three different types of ending. Therefore, the SNPT-R consisted of 78 short stories in total. These stories were presented in a pseudo-random order using E-Prime software (version 2.0.10, Psychology Software Tools; script available at osf.io/m8r76 [ ]), separated by a fixation cross (jittered duration between 2–7 s, determined using Optseq software ( ), mean duration fixation: 3.5 s) and divided into two consecutive blocks of 39 stories (duration each block: 8 min 44 s). Participants were instructed to imagine themselves in the social situations described and to press a button with their right index finger after reading the stem sentence of each story. A button press within 3 s resulted in visual feedback to the participant (a green checkmark presented beneath the sentence). This element was added to the paradigm in order to be able to check whether participants engaged with the task. Prior to the start of the experiment, all participants were familiarized with the story-reading phase by performing a short version of the task (using 5 stories). \n\nIn the (unannounced) rating phase of the task ( ), participants read all stories again and were asked to rate them on a 5-point Likert scale on embarrassment (ranging from 1, not embarrassing at all, to 5, extremely embarrassing) and inappropriateness (ranging from 1, not inappropriate at all, to 5, extremely inappropriate), similar as in the SNPT described by Blair and colleagues [ ]. These tasks were also presented using E-Prime software (version 2.0.10, Psychology Software Tools; scripts available at osf.io/m8r76 [ ]). ']","['intentional', 'unintentional', 'neutral']","['intentional norm violation endings > neutral endings', 'unintentional norm violation endings > neutral endings;', 'intentional norm violation endings > unintentional norm violation endings', 'unintentional norm violation endings > intentional norm violation endings']"
5552726,5552726,True,delavega-other,,['fMRI-BOLD'],[],,,
5607552,5607552,False,delavega-aliceoverlap,,"['fMRI-BOLD', 'fMRI-BOLD']",['n/a'],"['a degraded sentence is first experienced as very difficult to understand and, after a single presentation of its intact counterpart, the intelligibility of this same degraded sentence reaches near‐perfect level.', 'functional run consisted of 9 D‐I‐D stimulus sets, each of which comprised three blocks of six sentences (see Figure\xa0 ). The blocks were 22 or 24\xa0s in duration. To prevent an overlap between the blood oxygenation level dependent (BOLD) responses elicited by each sentence block, the blocks were separated by periods of 16\xa0s without auditory stimulation. Subjects were instructed to listen attentively to the sentences, to maintain their gaze on a central fixation cross, and to avoid moving during the duration of the experiment. After 1\xa0s following the end of each D‐I‐D stimulus set, a question appeared on the screen for 5\xa0s prompting the subject to indicate by a button press (yes/no) whether the distorted sentences were easier to understand when presented after the intact sentences.']","['distorted sentences', 'intact sentences', 'second presentation of the distorted sentences']","['second distorted versus first distorted', 'intact versus first distorted', 'intact versus second distorted']"
5662181,5662181,False,delavega_nv,,['fMRI-BOLD'],['Color-Word Stroop task'],"['The children performed a modified version of the Color-Word Stroop task designed to be used inside the fMRI scanner [ ]. During each trial, participants were presented with a word on a black screen written in one of four colors (red, yellow, green, or blue) and were instructed to subvocalize the color of the stimulus, regardless of the meaning of the written word, and simultaneously press an arbitrary button on a button box. Subvocalization, in which participants say the color of the ink in their heads rather than out loud, is a commonly used approach in developmental neuroimaging studies of cognitive control [ , ] because it helps minimize movement-related artifacts. On the other hand, the technique makes it inherently difficult to ensure that the participant is correctly completing the task. Therefore, extensive pre-scanning training was conducted and in-scanner response times between the conditions were evaluated to have on objective measure of whether the participant was indeed performing the task. Prior to scanning, participants practiced the task in a lab testing room. First, the child was presented with 3 blocks (1 congruent, 2 incongruent with 4 trials in each) and was instructed to say the color of the written word aloud. Second, the child was presented with 1 incongruent block (4 trials total) and was instructed to say the color of the word in his or her head and simultaneously press a button. ']","['incongruent', 'congruent']",['incongruent—congruent']
5662713,5662713,False,delavega_nv,,['fMRI-BOLD'],['n/a'],"['Participants watched 24 short videos while in the MRI scanner. The videos lasted on average 38\u2009seconds (range 29–48\u2009s) and were taken from short films or videos posted on   www.YouTube.com  . All videos depicted a short narrative and were presented without sound. The stories centered around one character (5 videos), two main characters (8 videos) or an interaction of multiple characters (11 videos). 13 videos took place outside, 8 videos took place inside of a building and three videos switched between these types of locations. The order of the videos was pseudorandomized across participants. All stimuli were pre-experimentally unfamiliar to the participants. ']",,
5716095,5716095,False,delavega_nv,,['fMRI-BOLD'],['n/a'],,"['family', 'self']",
5776089,5776089,False,delavega-other,,['fMRI-BOLD'],"['Motor Task', 'Somatosensory Stimulation']","['he fMRI session was composed of nine rest–task cycles with 30 s for each period. Eyes were kept closed during scanning. The motor task consisted of repetitive alternating dorsiflexion and relaxation of the right foot (with range reaching 15°). Foot movements were paced following an audio cue that was sounded every 1.5 s. These small range of motion and medium speed were applied to avoid large head motions. In each task period, the last audio cue is a verbal command “stop”. The verbal command, “ready, right foot movement, go” was delivered within a 2 s duration that is 3 s ahead of each task period. These audio cues and commands were recorded in advance and transmitted via the intercom system of the MR scanner. Each subject was trained prior to MR scanning to perform the motor task as gently as possible. ']","['Task', 'Task+AgonistStim', 'Task+ControlStim']",['“Task+AgonistStim minus Task”']
5895040,5895040,False,delavega_nv,,['fMRI-BOLD'],"['n/a', 'n/a']","['In the perceptual task, subjects were asked to report the brighter of two stimuli on each trial', 'In the memory task, subjects began each miniblock by learning a set of nine consecutively presented stimuli']","['confidence', 'follow']",
5973829,5973829,False,delavega_nv,,['fMRI-BOLD'],"['Food task', 'Altruism task']","['\xa0The non-social fMRI task was a modified version of an established food task ( ). On every trial, subjects chose between one of 90 food items presented on-screen (4 s) and a default food chosen prior to scanning ( ). Subjects responded by pressing one of four buttons corresponding to ‘strong yes’, ‘yes’, ‘no’, ‘strong no’ (displayed at the bottom of the screen), using a button box placed in their right hand. The assignment of choice preferences to buttons was fixed throughout the task and the right-left orientation of the scale was counterbalanced across subjects. Inter-trial intervals varied from 1 to 4 s (average of 2 s), during which a white fixation cross was presented against a black background. After scanning, one trial was randomly drawn to determine what the subject would eat before leaving the lab. If subjects failed to respond within the 4 s of the selected trial either the on-screen or the default option was randomly chosen. \n\nSubjects made food choices under three conditions:   Respond Naturally   (‘respond as you naturally would’, [NC]),   Focus on Health   (‘focus on the healthiness of the food when making the choice’, [HC]), or   Focus on Taste   (‘focus on the tastiness of the food when making the choice’, [TC]) (see Appendix 1 – Instructions for regulatory conditions in both choice tasks for instructions). Importantly, subjects were explicitly instructed to always make the decision based on their preference, regardless of the condition. Every condition comprised nine blocks (with 10 trials per block), resulting in a total of 90 trials per condition. Prior to every block, detailed instructions appeared for 4 s. In addition, during food display, a short description (‘Respond Naturally’, ‘Focus on Health’, ‘Focus on Taste’) appeared at the top of the screen to remind participants of the current instruction. Each of the nine functional scanning runs contained one block of every condition (i.e., three task blocks per run), with the order of conditions randomized across runs and subjects. The only exception was the first task block, which was pre-assigned to ‘natural’ for every subject. Practice trials as well as a short quiz prior to scanning ensured that subjects understood the instructions for each condition and were comfortable with the timing of the task. \n\nFood items varied in their perceived tastiness and healthiness and included healthy snacks (e.g., apples, broccoli) and junk foods (e.g., candy bars, chips). Items were selected based on subjects ratings in a self-paced computerized task prior to scanning that assessed perceived tastiness (5-point Likert scale, ‘very untasty’ to\xa0‘very tasty’) and healthiness (5-point Likert scale, ‘very unhealthy’ to ‘very healthy’) of 200 food items ( ;  ). Ninety food items were selected from this larger set to cover the range of health and taste ratings in a roughly uniform manner. In addition, for each subject we chose one default food that was perceived as neutral for taste and health. Each food item was presented once in each of three choice conditions, with presentation order randomized across blocks, functional runs, and subjects. To ensure the motivational saliency of the food items, subjects were asked to refrain from eating 4 hr prior to testing. Stimulus presentation was implemented using high-resolution color pictures (72 dpi) and Psychophysics Toolbox Version 3 ( ) together with Matlab (2014a). ', 'The altruism task was an fMRI compatible version of the dictator game modified from ( ). On every trial, subjects were presented with a monetary proposal that affected their own ($Self) and another persons’ ($Other) monetary payoff ( ). Subjects had 4 s to chose between the on-screen proposal and a constant default allocation ($20 to both) by pressing one of the four response buttons (‘strong yes’, ‘yes’, ‘no’, ‘strong no’; direction counter-balanced across subjects). Payouts for self and other ranged from $0 to $40 and always involved a tradeoff between self and other (i.e. prizes for one individual were equal or less than the default, while prizes for the other individual exceeded the default). Thus, subjects always had to choose between acting altruistically (benefitting the other at a cost to oneself) or selfishly (benefitting oneself at a cost to the other) on every trial. At the end of the experiment, one trial was randomly selected and implemented according to the subjects’ choice. If subjects failed to respond within 4 s for this trial, both individuals received $0. \n\nSimilar to the food task, subjects performed the task under three different conditions:   Respond Naturally   (‘respond as you naturally would’, [NC]),   Focus on Ethics   (‘focus on doing the right thing and consider the ethical or moral implications of your choice’, [EC]), or   Focus on Partner   (‘focus on your partner’s feelings and how the other person is affected by your choice’, [PC]). Subjects were reminded to always make their choice based on their preference, regardless of the condition. Conditions were implemented in separate blocks of 10 trials each, with the beginning of a new block signaled by a short reminder instruction (4 s). Matching the food task, subjects performed 9 blocks of each condition (i.e., 90 trials per condition and a total of 270 trials), with the block order counter-balanced across subjects and functional runs, with the exception that the first two blocks were always natural choice trials. Choices in these NC blocks were used to estimate a logistic regression [Choice\xa0=\xa0w  * $Self\xa0+\xa0w  * $Other] and used for a subject-specific selection of 30% of proposals most likely to elicit generous behavior and 30% of proposals likely to elicit selfish behavior. The remaining 40% of trials were randomly chosen from the full proposal space. Practice trials and a quiz prior to scanning verified that subjects were capable and comfortable to make the choice within 4 s. ']","['Respond Naturally', 'Focus on Health', 'Focus on Taste', 'The altruism task was an fMRI compatible version of the dictator game modified from ( ). On every trial, subjects were presented with a monetary proposal that affected their own ($Self) and another persons’ ($Other) monetary payoff ( ). Subjects had 4 s to chose between the on-screen proposal and a constant default allocation ($20 to both) by pressing one of the four response buttons (‘strong yes’, ‘yes’, ‘no’, ‘strong no’; direction counter-balanced across subjects). Payouts for self and other ranged from $0 to $40 and always involved a tradeoff between self and other (i.e. prizes for one individual were equal or less than the default, while prizes for the other individual exceeded the default). Thus, subjects always had to choose between acting altruistically (benefitting the other at a cost to oneself) or selfishly (benefitting oneself at a cost to the other) on every trial. At the end of the experiment, one trial was randomly selected and implemented according to the subjects’ choice. If subjects failed to respond within 4 s for this trial, both individuals received $0. \n\nSimilar to the food task, subjects performed the task under three different conditions:   Respond Naturally   (‘respond as you naturally would’, [NC]),   Focus on Ethics   (‘focus on doing the right thing and consider the ethical or moral implications of your choice’, [EC]), or   Focus on Partner   (‘focus on your partner’s feelings and how the other person is affected by your choice’, [PC]). Subjects were reminded to always make their choice based on their preference, regardless of the condition. Conditions were implemented in separate blocks of 10 trials each, with the beginning of a new block signaled by a short reminder instruction (4 s). Matching the food task, subjects performed 9 blocks of each condition (i.e., 90 trials per condition and a total of 270 trials), with the block order counter-balanced across subjects and functional runs, with the exception that the first two blocks were always natural choice trials. Choices in these NC blocks were used to estimate a logistic regression [Choice\xa0=\xa0w  * $Self\xa0+\xa0w  * $Other] and used for a subject-specific selection of 30% of proposals most likely to elicit generous behavior and 30% of proposals likely to elicit selfish behavior. The remaining 40% of trials were randomly chosen from the full proposal space. Practice trials and a quiz prior to scanning verified that subjects were capable and comfortable to make the choice within 4 s. ', 'Respond Naturally', 'Focus on Ethics', 'Focus on Partner']",
