,group_name,subgroup_name,project_name,annotator_name,pmcid,start_char,end_char,diagnosis,count,male count,age mean,female count,age minimum,age maximum,age median
252,patients,_,participant_demographics,Jerome_Dockes,3182403,[],[],Parkinson's disease,21,13.0,60.8,8.0,44.0,73.0,
333,healthy,_,participant_demographics,Jerome_Dockes,3183226,[],[],,16,9.0,,7.0,18.0,35.0,
195,healthy,_,participant_demographics,Jerome_Dockes,3258233,[],[],,12,,31.0,,18.0,55.0,
150,healthy,_,participant_demographics,Jerome_Dockes,3324921,[],[],,14,,,,,,
158,healthy,_,participant_demographics,Jerome_Dockes,3334814,[],[],,103,52.0,32.5,51.0,,,
206,healthy,_,participant_demographics,Jerome_Dockes,3362560,[],[],,24,12.0,,12.0,,,
302,healthy,_,participant_demographics,Jerome_Dockes,3407245,[],[],,10,5.0,,5.0,22.0,43.0,
249,healthy,_,participant_demographics,Jerome_Dockes,3409150,[],[],,18,18.0,25.11,,21.0,33.0,
416,healthy,study 1,participant_demographics,Jerome_Dockes,3422286,[],[],,12,6.0,26.0,6.0,23.0,39.0,
417,healthy,study 2,participant_demographics,Jerome_Dockes,3422286,[],[],,14,7.0,23.0,7.0,24.0,30.0,
378,patients,MCI,participant_demographics,Jerome_Dockes,3423412,[],[],mild cognitive impairment,8,,,,,,
379,patients,AD,participant_demographics,Jerome_Dockes,3423412,[],[],Alzheimer disease,14,,,,,,
380,healthy,_,participant_demographics,Jerome_Dockes,3423412,[],[],,14,,,,,,
67,patients,_,participant_demographics,Jerome_Dockes,3447931,[],[],amyotrophic lateral sclerosis,20,,,,,,
68,healthy,_,participant_demographics,Jerome_Dockes,3447931,[],[],,20,,,,,,
264,healthy,_,participant_demographics,Jerome_Dockes,3483694,[],[],,22,5.0,,17.0,23.0,41.0,
323,healthy,_,participant_demographics,Jerome_Dockes,3492343,[],[],,58,26.0,24.02,32.0,,,
32,healthy,Würzburg,participant_demographics,Jerome_Dockes,3502502,[],[],,24,12.0,26.0,12.0,23.0,34.0,
33,healthy,Oxford,participant_demographics,Jerome_Dockes,3502502,[],[],,46,21.0,30.0,25.0,19.0,63.0,
408,patients,_,participant_demographics,Jerome_Dockes,3510214,[],[],mal de debarquement syndrome,20,,,,,,
409,healthy,_,participant_demographics,Jerome_Dockes,3510214,[],[],,20,,,,,,
196,healthy,smokers,participant_demographics,Jerome_Dockes,3511796,[],[],,45,,,,,,
197,healthy,non-smokers,participant_demographics,Jerome_Dockes,3511796,[],[],,44,,,,,,
203,healthy,study 1,participant_demographics,Jerome_Dockes,3520927,[],[],,1220,,,,,,
204,healthy,study 2,participant_demographics,Jerome_Dockes,3520927,[],[],,40,,,,,,
319,healthy,_,participant_demographics,Jerome_Dockes,3539852,[],[],,31,,,,18.0,22.0,
45,healthy,proficient,participant_demographics,Jerome_Dockes,3554651,[],[],,11,3.0,28.73,8.0,19.0,46.0,
46,healthy,less-proficient,participant_demographics,Jerome_Dockes,3554651,[],[],,10,3.0,30.0,7.0,19.0,45.0,
281,healthy,_,participant_demographics,Jerome_Dockes,3605341,[],[],,32,,,,,,
303,healthy,young,participant_demographics,Jerome_Dockes,3660406,[],[],,19,5.0,22.6,14.0,18.0,27.0,
304,healthy,old,participant_demographics,Jerome_Dockes,3660406,[],[],,15,5.0,61.1,10.0,51.0,71.0,
297,healthy,_,participant_demographics,Jerome_Dockes,3672681,[],[],,32,,,,,,
419,healthy,_,participant_demographics,Jerome_Dockes,3676955,[],[],,33,17.0,25.3,16.0,,,
395,healthy,_,participant_demographics,Jerome_Dockes,3701149,[],[],,22,16.0,16.0,6.0,,,
396,patients,ah,participant_demographics,Jerome_Dockes,3701149,[],[],auditory hallucination,12,5.0,15.97,7.0,,,
397,patients,22q11.2DS,participant_demographics,Jerome_Dockes,3701149,[],[],22q11.2 Deletion Syndrome ,13,9.0,16.14,4.0,,,
265,patients,_,participant_demographics,Jerome_Dockes,3742334,[],[],chronic marijuana use,10,8.0,,2.0,,,
266,healthy,_,participant_demographics,Jerome_Dockes,3742334,[],[],,18,11.0,,7.0,,,
263,healthy,_,participant_demographics,Jerome_Dockes,3775427,[],[],,102,,21.5,,20.0,23.0,
147,patients,_,participant_demographics,Jerome_Dockes,3777673,[],[],obsessive–compulsive disorder,19,,,,,,
148,healthy,_,participant_demographics,Jerome_Dockes,3777673,[],[],,19,,,,,,
336,healthy,_,participant_demographics,Jerome_Dockes,3780305,[],[],,17,8.0,7.4,9.0,6.9,7.8,
22,healthy,_,participant_demographics,Jerome_Dockes,3788350,[],[],,12,,,,,,
114,patients,_,participant_demographics,Jerome_Dockes,3791281,[],[],"Binge drinking
",12,7.0,,5.0,19.0,32.0,
115,healthy,_,participant_demographics,Jerome_Dockes,3791281,[],[],,12,7.0,,5.0,19.0,32.0,
184,patients,_,participant_demographics,Jerome_Dockes,3842522,[],[],autism,42,,,,8.0,36.0,
185,healthy,_,participant_demographics,Jerome_Dockes,3842522,[],[],,48,,,,8.0,36.0,
355,healthy,_,participant_demographics,Jerome_Dockes,3866656,[],[],,16,16.0,23.8,,20.0,30.0,
301,healthy,_,participant_demographics,Jerome_Dockes,3869649,[],[],,19,10.0,22.8,9.0,19.0,31.0,
247,healthy,experiment 1,participant_demographics,Jerome_Dockes,3869681,[],[],,18,10.0,26.3,8.0,21.0,41.0,
248,healthy,experiment 2,participant_demographics,Jerome_Dockes,3869681,[],[],,18,9.0,26.6,9.0,21.0,38.0,
233,patients,_,participant_demographics,Jerome_Dockes,3877773,[],[],Tourette syndrome,17,,,,,,
234,healthy,_,participant_demographics,Jerome_Dockes,3877773,[],[],,15,,,,,,
360,healthy,_,participant_demographics,Jerome_Dockes,3889700,[],[],,15,,25.6,,22.0,30.0,
20,healthy,happy,participant_demographics,Jerome_Dockes,3893192,[],[],,26,,,,,,
21,healthy,unhappy,participant_demographics,Jerome_Dockes,3893192,[],[],,25,,,,,,
52,healthy,_,participant_demographics,Jerome_Dockes,3894920,[],[],,6,5.0,,1.0,22.0,35.0,
414,patients,_,participant_demographics,Jerome_Dockes,3913832,[],[],anorexia nervosa,31,,,31.0,,,
415,healthy,_,participant_demographics,Jerome_Dockes,3913832,[],[],,31,,,31.0,,,
173,healthy,study 1,participant_demographics,Jerome_Dockes,3965851,[],[],,24,,24.0,24.0,20.0,30.0,
174,healthy,study 2,participant_demographics,Jerome_Dockes,3965851,[],[],,18,,24.0,18.0,20.0,30.0,
73,patients,_,participant_demographics,Jerome_Dockes,3984441,[],[],dementia with Lewy bodies,16,,,,,,
74,healthy,_,participant_demographics,Jerome_Dockes,3984441,[],[],,17,,,,,,
376,healthy,adolescents,participant_demographics,Jerome_Dockes,3991323,[],[],,220,115.0,14.61,105.0,14.0,15.0,
377,healthy,adults,participant_demographics,Jerome_Dockes,3991323,[],[],,28,17.0,25.24,11.0,20.0,39.0,
85,patients,_,participant_demographics,Jerome_Dockes,4017227,[],[],Mesial temporal lobe epilepsy,23,,,,,,
86,healthy,_,participant_demographics,Jerome_Dockes,4017227,[],[],,19,,,,,,
19,healthy,_,participant_demographics,Jerome_Dockes,4029023,[],[],,10,7.0,27.72,3.0,,,
267,patients,_,participant_demographics,Jerome_Dockes,4029608,[],[],Social anxiety disorder,27,15.0,,12.0,,,
268,healthy,_,participant_demographics,Jerome_Dockes,4029608,[],[],,27,14.0,,13.0,,,
386,healthy,_,participant_demographics,Jerome_Dockes,4030253,[],[],,23,,15.2,,,,
387,patients,_,participant_demographics,Jerome_Dockes,4030253,[],[],Internet Addiction,18,,15.1,,,,
145,healthy,dcg,participant_demographics,Jerome_Dockes,4034409,[],[],,13,5.0,23.1,8.0,,,
146,healthy,tcg,participant_demographics,Jerome_Dockes,4034409,[],[],,13,4.0,23.5,9.0,,,
372,patients,_,participant_demographics,Jerome_Dockes,4048172,[],[],Chronic Back Pain,13,4.0,51.8,9.0,43.0,65.0,
373,healthy,_,participant_demographics,Jerome_Dockes,4048172,[],[],,13,4.0,48.7,9.0,38.0,62.0,
270,healthy,_,participant_demographics,Jerome_Dockes,4072722,[],[],,16,10.0,30.1,6.0,18.0,40.0,
66,healthy,_,participant_demographics,Jerome_Dockes,4075342,[],[],,12,7.0,38.0,5.0,23.0,60.0,
63,healthy,_,participant_demographics,Jerome_Dockes,4115625,[],[],,272,123.0,24.454779411764704,149.0,18.0,68.0,
75,patients,_,participant_demographics,Jerome_Dockes,4174863,[],[],incarcerated,157,,,157.0,,,
76,healthy,_,participant_demographics,Jerome_Dockes,4174863,[],[],,46,,,46.0,,,
343,patients,_,participant_demographics,Jerome_Dockes,4175730,[],[],knee osteoarthritis,30,,,,,,
311,patients,_,participant_demographics,Jerome_Dockes,4184784,[],[],Parkinson's disease,37,17.0,,20.0,,,
312,healthy,_,participant_demographics,Jerome_Dockes,4184784,[],[],,34,22.0,,12.0,,,
198,patients,_,participant_demographics,Jerome_Dockes,4190683,[],[],Attention Deficit Hyperactivity Disorder,30,,,,10.0,17.0,
199,healthy,_,participant_demographics,Jerome_Dockes,4190683,[],[],,30,,,,10.0,17.0,
401,patients,_,participant_demographics,Jerome_Dockes,4215530,[],[],"Very preterm birth
",24,,,,,,
402,healthy,_,participant_demographics,Jerome_Dockes,4215530,[],[],,22,,,,,,
232,healthy,_,participant_demographics,Jerome_Dockes,4255751,[],[],,18,18.0,23.9,,18.0,33.0,
163,patients,_,participant_demographics,Jerome_Dockes,4265725,[],[],Autism spectrum conditions,18,,30.4,,,,
164,healthy,_,participant_demographics,Jerome_Dockes,4265725,[],[],,18,,28.6,,,,
317,healthy,_,participant_demographics,Jerome_Dockes,4274095,[],[],,20,,5.8,,5.2,6.8,
71,healthy,pet,participant_demographics,Jerome_Dockes,4280551,[],[],,10,,,,,,
72,healthy,fmri,participant_demographics,Jerome_Dockes,4280551,[],[],,15,,,,,,
23,healthy,_,participant_demographics,Jerome_Dockes,4318429,[],[],,18,9.0,,9.0,20.0,32.0,
287,healthy,_,participant_demographics,Jerome_Dockes,4319399,[],[],,284,144.0,25.0,140.0,,,
190,healthy,_,participant_demographics,Jerome_Dockes,4330553,[],[],,23,18.0,22.0,5.0,,,
129,healthy,_,participant_demographics,Jerome_Dockes,4332461,[],[],,32,17.0,,15.0,25.0,27.0,
315,healthy,Experiment 1,participant_demographics,Jerome_Dockes,4349631,[],[],,22,17.0,,5.0,19.0,41.0,
316,healthy,Experiment 2,participant_demographics,Jerome_Dockes,4349631,[],[],,16,11.0,,5.0,20.0,59.0,
90,healthy,dataset 1,participant_demographics,Jerome_Dockes,4352055,[],[],,20,,,,,,
91,healthy,dataset 2,participant_demographics,Jerome_Dockes,4352055,[],[],,19,,,,,,
424,healthy,_,participant_demographics,Jerome_Dockes,4370584,[],[],,40,20.0,20.0,20.0,18.0,23.0,
298,healthy,_,participant_demographics,Jerome_Dockes,4380440,[],[],,33,33.0,,,,,
351,patients,_,participant_demographics,Jerome_Dockes,4416052,[],[],social anxiety disorder,53,36.0,29.9,17.0,,,
352,healthy,_,participant_demographics,Jerome_Dockes,4416052,[],[],,33,19.0,29.4,14.0,,,
194,healthy,_,participant_demographics,Jerome_Dockes,4436102,[],[],,23,11.0,24.2,12.0,18.0,31.0,
254,healthy,experiment 1,participant_demographics,Jerome_Dockes,4458841,[],[],,15,,,,,,
255,healthy,experiment 2,participant_demographics,Jerome_Dockes,4458841,[],[],,14,,,,,,
64,patients,_,participant_demographics,Jerome_Dockes,4473263,[],[],chronic left-hemisphere stroke,32,27.0,62.0,5.0,,,
65,healthy,_,participant_demographics,Jerome_Dockes,4473263,[],[],,18,8.0,63.0,10.0,,,
205,healthy,_,participant_demographics,Jerome_Dockes,4477935,[],[],,20,12.0,24.0,8.0,,,
347,healthy,_,participant_demographics,Jerome_Dockes,4493392,[],[],,18,10.0,25.0,8.0,22.0,29.0,
116,patients,chronic lumbar back-pain,participant_demographics,Jerome_Dockes,4522562,[],[],chronic lumbar back-pain,8,,,,,,
117,patients,epilepsy,participant_demographics,Jerome_Dockes,4522562,[],[],epilepsy,10,,,,,,
118,patients,refractory epilepsy,participant_demographics,Jerome_Dockes,4522562,[],[],refractory epilepsy,14,,,,,,
119,patients,rh,participant_demographics,Jerome_Dockes,4522562,[],[],thermo-coagulation lesions in the right hippocampus,5,,,,,,
120,patients,rpc,participant_demographics,Jerome_Dockes,4522562,[],[], thermo-coagulation lesions in the right parahippocampal cortex,5,,,,,,
121,patients,lh,participant_demographics,Jerome_Dockes,4522562,[],[],thermo-coagulation lesions in the left hippocampus,3,,,,,,
122,patients,lph,participant_demographics,Jerome_Dockes,4522562,[],[],thermo-coagulation lesions in the left parahippocampal cortex,1,,,,,,
17,patients,_,participant_demographics,Jerome_Dockes,4530666,[],[],anorexia nervosa,23,,,23.0,,,
18,healthy,_,participant_demographics,Jerome_Dockes,4530666,[],[],,24,,,24.0,,,
411,patients,_,participant_demographics,Jerome_Dockes,4589842,[],[],Depression,11,5.0,61.0,6.0,,,
412,healthy,_,participant_demographics,Jerome_Dockes,4589842,[],[],,11,5.0,56.0,6.0,,,
293,healthy,_,participant_demographics,Jerome_Dockes,4717328,[],[],,20,16.0,,4.0,20.0,36.0,
384,patients,_,participant_demographics,Jerome_Dockes,4732188,[],[],Essential tremor,21,12.0,51.6,9.0,,,
385,healthy,_,participant_demographics,Jerome_Dockes,4732188,[],[],,21,14.0,50.6,7.0,,,
103,healthy,_,participant_demographics,Jerome_Dockes,4810172,[],[],,20,9.0,21.95,11.0,18.0,35.0,
277,healthy,_,participant_demographics,Jerome_Dockes,4838249,[],[],,15,15.0,22.33,,,,
57,patients,_,participant_demographics,Jerome_Dockes,4869560,[],[],major depressive disorder,29,,,,,,
58,healthy,_,participant_demographics,Jerome_Dockes,4869560,[],[],,29,15.0,26.76,14.0,,,
389,patients,dcd,participant_demographics,Jerome_Dockes,4936600,[],[],Developmental coordination disorder,6,,,,,,
390,patients,adhd,participant_demographics,Jerome_Dockes,4936600,[],[],attention-deficit hyperactivity disorder,19,,,,,,
391,patients,dcd+adhd,participant_demographics,Jerome_Dockes,4936600,[],[],Developmental coordination disorder and attention-deficit hyperactivity disorder,14,,,,,,
392,healthy,_,participant_demographics,Jerome_Dockes,4936600,[],[],,21,,,,,,
29,healthy,_,participant_demographics,Jerome_Dockes,4975394,[],[],,18,,21.04,18.0,,,
123,patients,_,participant_demographics,Jerome_Dockes,4983635,[],[],major depressive disorder,45,16.0,37.0,29.0,19.0,58.0,
124,healthy,_,participant_demographics,Jerome_Dockes,4983635,[],[],,19,8.0,33.0,11.0,20.0,52.0,
88,patients,_,participant_demographics,Jerome_Dockes,4990879,[],[],heroin addiction,40,40.0,,,,,
279,patients,_,participant_demographics,Jerome_Dockes,5030332,[],[],posttraumatic stress disorder,21,,,,,,
284,healthy,_,participant_demographics,Jerome_Dockes,5068584,[],[],,56,,24.3,56.0,,,
126,patients,severe childhood abuse,participant_demographics,Jerome_Dockes,5104469,[],[],Severe Childhood Abuse,21,15.0,17.5,6.0,,,
127,patients,psychiatric controls,participant_demographics,Jerome_Dockes,5104469,[],[],,19,9.0,16.9,10.0,,,
128,healthy,_,participant_demographics,Jerome_Dockes,5104469,[],[],,27,21.0,17.5,6.0,,,
51,healthy,_,participant_demographics,Jerome_Dockes,5218407,[],[],,17,7.0,25.0,10.0,19.0,30.0,
93,patients,_,participant_demographics,Jerome_Dockes,5266856,[],[],Poststroke Aphasia,39,,,,,,
94,healthy,_,participant_demographics,Jerome_Dockes,5266856,[],[],,37,,,,,,
83,healthy,_,participant_demographics,Jerome_Dockes,5270359,[],[],,15,15.0,26.0,,,,
227,patients,_,participant_demographics,Jerome_Dockes,5279905,[],[],autism spectrum disorder,16,16.0,,,8.0,18.0,
228,healthy,_,participant_demographics,Jerome_Dockes,5279905,[],[],,16,,,,,,
209,patients,_,participant_demographics,Jerome_Dockes,5292583,[],[],schizophrenia,33,,,,,,
210,healthy,_,participant_demographics,Jerome_Dockes,5292583,[],[],,35,,,,,,
38,healthy,_,participant_demographics,Jerome_Dockes,5324609,[],[],,15,7.0,23.8,8.0,,,
200,patients,_,participant_demographics,Jerome_Dockes,5339238,[],[],former iron deficiency anemia,14,,,,,,
201,healthy,_,participant_demographics,Jerome_Dockes,5339238,[],[],,17,,,,,,
341,patients,_,participant_demographics,Jerome_Dockes,5371603,[],[],deafness,14,3.0,25.0,11.0,18.0,33.0,
342,healthy,_,participant_demographics,Jerome_Dockes,5371603,[],[],,15,6.0,25.0,9.0,20.0,37.0,
140,healthy,_,participant_demographics,Jerome_Dockes,5390693,[],[],,233,116.0,16.1,117.0,9.9,26.6,
306,patients,_,participant_demographics,Jerome_Dockes,5394595,[],[],bronchial asthma without acute attacks,42,,,,,,
307,healthy,_,participant_demographics,Jerome_Dockes,5394595,[],[],,60,,,,,,
256,patients,_,participant_demographics,Jerome_Dockes,5413198,[],[],Alcohol dependence,34,34.0,,,,,
257,healthy,_,participant_demographics,Jerome_Dockes,5413198,[],[],,26,26.0,,,,,
235,patients,primary study,participant_demographics,Jerome_Dockes,5416685,[],[],unipolar major depression,20,,,,18.0,65.0,
236,patients,validation study,participant_demographics,Jerome_Dockes,5416685,[],[],unipolar major depression,19,,,,18.0,65.0,
237,healthy,primary study,participant_demographics,Jerome_Dockes,5416685,[],[],,19,,,,18.0,65.0,
238,healthy,validation study,participant_demographics,Jerome_Dockes,5416685,[],[],,19,,,,18.0,65.0,
208,healthy,_,participant_demographics,Jerome_Dockes,5428836,[],[],,32,13.0,23.97,19.0,,,
350,healthy,_,participant_demographics,Jerome_Dockes,5447679,[],[],,33,,,,,,
87,patients,_,participant_demographics,Jerome_Dockes,5460048,[],[],chronic dieters,75,,19.38,75.0,18.0,23.0,
172,healthy,_,participant_demographics,Jerome_Dockes,5460049,[],[],,56,54.0,34.4,2.0,21.0,60.0,
406,patients,_,participant_demographics,Jerome_Dockes,5537800,[],[],obesity,16,,46.31,16.0,,,
251,healthy,_,participant_demographics,Jerome_Dockes,5548834,[],[],,47,,19.62,47.0,,,
356,patients,_,participant_demographics,Jerome_Dockes,5552726,[],[],Asymptomatic Carotid Stenosis,16,,,,,,
578,healthy,_,participant_demographics,maximiliane_jousse,5596109,[],[],,6,4.0,,2.0,,,
362,patients,eod,participant_demographics,Jerome_Dockes,5598991,[],[],early adult onset depression,58,,,,,,
363,patients,lod,participant_demographics,Jerome_Dockes,5598991,[],[],later adult onset depression,62,,,,,,
364,healthy,young hc,participant_demographics,Jerome_Dockes,5598991,[],[],,60,,,,,,
365,healthy,old hc,participant_demographics,Jerome_Dockes,5598991,[],[],,52,,,,,,
95,patients,PD-A,participant_demographics,Jerome_Dockes,5655292,[],[],Parkinson's disease with anxiety disorder,18,,,,,,
96,patients,PD-NA,participant_demographics,Jerome_Dockes,5655292,[],[],Parkinson's disease without anxiety disorder,45,,,,,,
165,patients,_,participant_demographics,Jerome_Dockes,5665859,[],[],ischemic stroke,72,,,,60.0,70.0,
166,healthy,_,participant_demographics,Jerome_Dockes,5665859,[],[],,15,,,,60.0,70.0,
24,patients,_,participant_demographics,Jerome_Dockes,5686883,[],[],idiopathic musculoskeletal pain,10,1.0,16.3,9.0,,,
25,healthy,_,participant_demographics,Jerome_Dockes,5686883,[],[],,10,1.0,16.1,9.0,,,
388,healthy,_,participant_demographics,Jerome_Dockes,5717028,[],[],,40,24.0,68.4,16.0,,,
78,healthy,_,participant_demographics,Jerome_Dockes,5719057,[],[],,8,5.0,,3.0,19.0,27.0,
134,patients,baseline,participant_demographics,Jerome_Dockes,5758587,[],[],Developmental dyscalculia,14,,,,,,
135,patients,follow-up,participant_demographics,Jerome_Dockes,5758587,[],[],Developmental dyscalculia,13,,,,,,
136,healthy,baseline,participant_demographics,Jerome_Dockes,5758587,[],[],,11,,,,,,
137,healthy,follow-up,participant_demographics,Jerome_Dockes,5758587,[],[],,8,,,,,,
138,healthy,_,participant_demographics,Jerome_Dockes,5761874,[],[],,23,15.0,31.1,8.0,19.0,44.0,
139,patients,_,participant_demographics,Jerome_Dockes,5761874,[],[],temporal lobe epilepsy,25,13.0,33.6,12.0,20.0,45.0,
14,healthy,_,participant_demographics,Jerome_Dockes,5776089,[],[],,21,21.0,25.77,,20.0,40.0,
207,healthy,_,participant_demographics,Jerome_Dockes,5832413,[],[],,16,6.0,23.1,10.0,19.0,29.0,
180,patients,_,participant_demographics,Jerome_Dockes,5857897,[],[],Tourette syndrome,5,3.0,27.0,2.0,,,
366,patients,_,participant_demographics,Jerome_Dockes,5870086,[],[],autism spectrum disorder,28,,,,10.0,17.0,
50,healthy,_,participant_demographics,Jerome_Dockes,5881103,[],[],,30,10.0,,20.0,18.0,25.0,
182,healthy,_,participant_demographics,Jerome_Dockes,5890144,[],[],,31,,,,25.0,27.0,
260,healthy,experiment 1,participant_demographics,Jerome_Dockes,5902547,[],[],,41,16.0,19.0,25.0,,,
261,healthy,experiment 2,participant_demographics,Jerome_Dockes,5902547,[],[],,44,11.0,22.0,33.0,,,
262,healthy,study 2 experiment 1,participant_demographics,Jerome_Dockes,5902547,[],[],,17,5.0,24.0,12.0,18.0,31.0,
407,patients,_,participant_demographics,Jerome_Dockes,5903407,[],[],left hemisphere infarcts,27,,59.1,,,,
216,patients,_,participant_demographics,Jerome_Dockes,6004505,[],[],Multi-Problem Young Adults,100,100.0,,,,,
217,healthy,_,participant_demographics,Jerome_Dockes,6004505,[],[],,22,22.0,,,,,
156,healthy,experiment 1,participant_demographics,Jerome_Dockes,6016936,[],[],,14,,,,,,
157,healthy,experiment 2,participant_demographics,Jerome_Dockes,6016936,[],[],,10,,,,,,
282,patients,_,participant_demographics,Jerome_Dockes,6024199,[],[],posttraumatic stress disorder,21,6.0,21.5,15.0,18.0,31.0,
283,healthy,_,participant_demographics,Jerome_Dockes,6024199,[],[],,21,7.0,22.1,14.0,18.0,37.0,
250,healthy,_,participant_demographics,Jerome_Dockes,6136263,[],[],,20,1.0,,19.0,18.0,31.0,
92,healthy,_,participant_demographics,Jerome_Dockes,6195265,[],[],,15,8.0,22.21,7.0,,,
242,patients,_,participant_demographics,Jerome_Dockes,6197719,[],[],schizophrenia,44,,,,,,
243,healthy,siblings,participant_demographics,Jerome_Dockes,6197719,[],[],,42,,,,,,
244,healthy,controls,participant_demographics,Jerome_Dockes,6197719,[],[],,44,,,,,,
112,healthy,_,participant_demographics,Jerome_Dockes,6198067,[],[],,11,7.0,28.0,4.0,,,
334,patients,_,participant_demographics,Jerome_Dockes,6200185,[],[],relapsing-remitting multiple sclerosis,44,,,,,,
335,healthy,_,participant_demographics,Jerome_Dockes,6200185,[],[],,25,,,,,,
288,healthy,fMRI,participant_demographics,Jerome_Dockes,6215330,[],[],,22,11.0,23.3,11.0,,,
289,healthy,EEG,participant_demographics,Jerome_Dockes,6215330,[],[],,21,9.0,26.76,12.0,,,
5,patients,_,participant_demographics,Jerome_Dockes,6220927,[],[],cockroach phobia,12,4.0,,8.0,,,
6,healthy,_,participant_demographics,Jerome_Dockes,6220927,[],[],,12,4.0,,8.0,,,
105,patients,mdd,participant_demographics,Jerome_Dockes,6246657,[],[],major depressive disorder,40,,,,,,
106,patients,bdd,participant_demographics,Jerome_Dockes,6246657,[],[],bipolar disorder,21,,,,,,
107,healthy,_,participant_demographics,Jerome_Dockes,6246657,[],[],,70,,,,,,
26,patients,_,participant_demographics,Jerome_Dockes,6290711,[],[],Psychogenic erectile dysfunction,26,26.0,26.8,,,,
27,healthy,_,participant_demographics,Jerome_Dockes,6290711,[],[],,26,26.0,28.5,,,,
192,healthy,_,participant_demographics,Jerome_Dockes,6328158,[],[],,11,8.0,33.1,3.0,25.0,47.0,
104,healthy,_,participant_demographics,Jerome_Dockes,6344389,[],[],,16,8.0,22.5,8.0,,,
188,patients,_,participant_demographics,Jerome_Dockes,6347794,[],[],ADHD,38,18.0,,20.0,,,
101,patients,_,participant_demographics,Jerome_Dockes,6350268,[],[],"vascular mild cognitive impairment
",31,,,,,,
102,healthy,_,participant_demographics,Jerome_Dockes,6350268,[],[],,32,,,,,,
211,patients,_,participant_demographics,Jerome_Dockes,6382839,[],[],panic disorder,17,2.0,,15.0,,,
212,healthy,_,participant_demographics,Jerome_Dockes,6382839,[],[],,17,4.0,,13.0,,,
230,patients,_,participant_demographics,Jerome_Dockes,6389716,[],[],Parkinson’s disease,42,,,,,,
231,healthy,_,participant_demographics,Jerome_Dockes,6389716,[],[],,40,,,,,,
161,patients,_,participant_demographics,Jerome_Dockes,6412974,[],[],Juvenile myoclonic epilepsy,18,3.0,30.11,15.0,20.0,48.0,
162,healthy,_,participant_demographics,Jerome_Dockes,6412974,[],[],,24,14.0,33.2,10.0,,,
324,healthy,_,participant_demographics,Jerome_Dockes,6434022,[],[],,55,55.0,24.255,,18.0,35.0,
393,patients,_,participant_demographics,Jerome_Dockes,6457314,[],[],ulcerative colitis,41,25.0,37.1,16.0,20.0,54.0,
394,healthy,_,participant_demographics,Jerome_Dockes,6457314,[],[],,42,25.0,36.86,17.0,22.0,55.0,
423,healthy,HCP,participant_demographics,Jerome_Dockes,6492297,[],[],,820,,,,,,
425,patients,_,participant_demographics,Jerome_Dockes,6509414,[],[],hearing loss,26,,,,,,
292,healthy,_,participant_demographics,Jerome_Dockes,6528067,[],[],,10,4.0,20.8,6.0,,,
